French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
"Benoîte, Liquide qui rend la bouche piquante",Participe,Ahadbak,Nom;Plante,"Laurent, 1884, p.32",,
Poule,NA,Ahamo,Nom;Animal;Oiseau,"Masta, 1932, p.54",,
Vêtement,NI;Inaliénable,Ahim,Nom;Objet,"Laurent, 1884, p.116",,
Filet,NA,Ahlab,,"Laurent, 1884, p.115",,
À moins que,Conjonction,Aiaga,,"Laurent, 1884, p.90",,
Terre,NI,Aki,Nom,"Laurent, 1884, p.48",,
Quelqu'un sème,VAI isc,Akikamek,,"Laurent, 1884, p.182","Nolett-Ille, 1996, p.37",
Phoque,NA,Akikw;Akigw,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.45",,
Boeuf,NA,Aksen,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.45",,
Selon,Préposition,Akw8bi,,"Laurent, 1884, p.88","Day, 1994, p.21",
Les jours de la semaine (succession de jours???),VII,Akw8bsandak,Verbe,"Wz8khilain, 1830, p.90",,
"Il se sent mal, il se sent malade",VAI;3;s;Présent,Akwamalso,Verbe,"Laurent, 1884, p.198","Nolett-Ille, 1996, p.29",
Maladie,NI,Akwamalsow8gan,Nom,"Wz8khilain, 1830, p.48",,
Hôpital,NI,Akwamalsowigamikw,Nom;Lieu,"Nollett-Ille, 1996, p.24",,
"Amère, Âcre",,Akwan,,"Wz8khilain, 1830, p.45",,
"Alcool; Eau qui arrête (eau de vie, rhum, eau amère…)",NI,Akwbi,,"Wz8khilain, 1830, p.45",,
C’est amère (A),Adj,Akwgek,,Philippe Charland,,
Ne (négation),Adv,Akwi,,"Day, 1994, p.22",,
Éclipse,,Akwi pagadasem,,,,
Réserve autochtone,NI,Al8baïsigwnigan,Nom;Lieu,"Laurent, 1884, p.54",,
Coeur d'un arbre (moelle),NA,Al8makwam,Nom;Plante;Arbre,"Wz8khilain, 1830, p.58",,
Sous l’eau,VII,Al8mbagwa,,"Wz8khilain, 1830, p.81",,
À l’intérieur,Adv,Al8miwi,,"Laurent, 1884, p.88",,
"Enfer, caveau, sous-sol",NI,Al8mki,,"Wz8khilain, 1830, p.51",,
Bureau (office),NI,Al8msagom,,"Laurent, 1884, p.109",,
Petit oiseau domestique,NA,Al8msagwilhasis,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
"Chambre, Pièce",NI,Al8msakw,,"Laurent, 1884, p.108",,
Canard branchu,NA,Al8ntegwilha,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Ou,Conjonction de coordination,Ala,,"Wz8khilain, 1830, p.45",,
Étoile,NA,Alakws,,"Wz8khilain, 1830, p.45",,
C’est étoilé,VAI;3;s;présent,Alakwsoo,,Charland,,
Jour de l'an,,Alamik8wadimuk,,"Laurent, 1884, p.56",,
Janvier,NA,Alamikos,,"Wz8khilain, 1830, p.89",,
Janvier dernier,,Alamikosa,,,,
En janvier dernier,,Alamikosak,,,,
Carcajou,NA,Alaskana,Nom;Animal;Mammifère,"Nolett-Ille, 1996, p.7",,
Allemand,NA,Alem8n,,"Laurent, 1884, p.53",,
La langue allemande,NI,Alem8n8dwaw8gan,,"Laurent, 1884, p.53",,
"Que, Parce que",Conjonction,Ali,,"Laurent, 1884, p.90",,
Ouest,,Ali nkilh8t,,"Day, 1994, p.47",,
Quelqu'un pense/présume quelquechose (I).,VTI,Alidah8d8zik,,"Laurent, 1884, p.183",,
Quelqu'un pense/présume quelquechose (A).,VTA,Alidah8m8mek,,"Laurent, 1884, p.183",,
Quelqu'un pense/présume.,VAI isc,Alidah8zimek,,"Laurent, 1884, p.183",,
Tortue serpentine,NA,Aligdaït,,"Day, 1994, p.28",,
Je suis comme cela,VAI,Aligia,,"Day, 1994, p.28",,
Tu es comme cela,VAI,Aligian,,"Day, 1994, p.28",,
Quelqu'un coud,VAI,Aligw8nsamek,,"Laurent, 1884, p.182",,
Quelqu'un coud quelquechose (I),VTI,Aligw8zik,,"Laurent, 1884, p.182",,
Quelqu'un coud quelquechose (A),VTA,Aligwaw8mek,,"Laurent, 1884, p.182",,
Fourmi,NA,Alikws,,"Wz8khilain, 1830, p.45",,
Gant,NI,Alilj8mek,,"Nolettt-Ille, 1996, p.22",,
Quelqu’un chante,VAI,Alintomek,,,,
Éléphant,NA,Alipen,Animal,"Day, 1994, p.29",,
Taupe,NA,Alm8ska,,"Wz8khilain, 1830, p.51",,
Semaine,VAI isc,Almalokamek,,"Laurent, 1884, p.117",,
Continuer dans le temps et l’espace.,Particule,Almi,,"Nolett-Ille,???, p.61",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Après,,Almidbilh8k,,"Masta, 1932, p. 20",,
Quand ça continue après,VTI,Almitbilh8k,,"Laurent, 1884, p.87",,
Continue,,Almitebihl8k,,"Laurent, 1884, p. 87",,
Chien,NA,Almos,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.50",,
Chiot,NA,Almosis,Nom;Animal;Mammifère,"Laurent, 1884, p.71",,
Être humain,NA,Aln8ba,,"Laurent, 1884, p.53",,
La langue abénakise,NI,Aln8ba8dwaw8gan,,"Nolett-Ille, 1996, p.27",,
