French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
Une heure,NI,L8mkipoda,Nom,"Day, 1994, p.278",,
Humeur,NI,L8wzow8gan,Nom,"Day, 1994, p.279",,
Barbotte,NA,Labaldod,Nom;Animal;Poisson,???,,
Bière,NI,Labial,Nom,"Laurent, 1884, p.30",,
Bouteille de bière,NA,Labialipotaïa,Nom,Philippe Charland,,
Jupe,NI,Labizowan,Nom;Objet;Vêtement,"Nolettt-Ille, 1996, p.26",,
Lait bouilli,NI,Laboia,Nom;Objet;Nourriture,"Day, 1994, p.262",,
"Un geste, une action",NI,Ladakaw8gan,Nom,"Laurent, 1884, p.24",,
Galette,NA,Lagalat,Nom;Objet;Nourriture,"Day, 1994, p.263",,
Ragoût,NI,Lago,Nom;Objet;Nourriture,"Laurent, 1884, p.29",,
Vers (en direction de),Adv,Lagwiwi,,"Laurent, 1884, p.88",,
Famille,NA,Lakamigwezo,Nom;Personne,"Day, 1994, p.265",,
Charrue,NI,Lakaz8w8gan,Nom;Ferme,"Laurent, 1884, p.54",,
Crème,NI,Laklam,Nom;Objet;Nourriture,"Wz8khilain, 1830, p.47",,
La voix,NI,Lal8mow8gan,Nom,"Laurent, 1884, p.23","Nolett-Ille, 1996, p.26",
Lampe,NI,Lal8p,Nom;Objet;Maison,"Wz8khilain, 1830, p.47",,
Laine (De la),NI,Lalan,Nom;Objet,"Day, 1994, p.266",,
Rhubarbe,NI,Lalubab,Nom;Fruit,"Day, 1994, p.267",,
Perchaude,NA,Lapalsot,Nom;Poisson,"Day, 1994, p.267",,
Semaine,NI,Lasanda,Nom,"Nolett-Ille, ???, p.208",,
Rapporter à plus tard,VTI,Lato,,"Day, 1994, p.268",,
Rêve,NA,Legwasow8gan,,"Wz8khilain, 1830, p.61",,
Quelqu’un pétrit,VAI isc,Lejagenigamek,,,,
Bannique (la chose que l’on pétrit),NI,Lejagenigan,,"Day, 1994, p.269",,
Coffre,NI,Lesagahigan,,"Wz8khilain, 1830, p.65",,
Pont,NI,Lesagw8gan,Nom;Lieu,"Laurent, 1884, p.41",,
Le temps (emprunt du français),NI,Let8,Nom,"Day, 1994, p.270",,
"À, Vers, Jusqu’à,  Comme",Préposition,Li,,"Laurent, 1884, p.109","Masta, 1932, p.55",
Année (l'),NI,Lidagen,,"Nolett-Ille, 1996, p.2",,
Pense/présume quelquechose (I).,VTI,Lidah8da,,"Laurent, 1884, p.183",,
Pensez/présumez quelquechose (I).,VTI,Lidah8damogw,,"Laurent, 1884, p.183",,
Quelqu'un pense quelquechose de quelqu'un,VTA,Lidah8m8mek,,"Day, 1994, p.271",,
Pense/présume quelquechose (A),VTA,Lidah8ma,,"Laurent, 1884, p.183",,
Pense/présume quelquechose (A).,VTA,Lidah8ma,,"Laurent, 1884, p.183",,
Pense/présume quelquechose (A) à propos de moi,VTA,Lidah8mi,,"Wz8khilain, 1832, p.13",,
Pensez/présumez quelquechose (A).,VTA,Lidah8mogw,,"Laurent, 1884, p.183",,
Pense/présume.,VAI,Lidah8zi,,"Laurent, 1884, p.183",,
Pensez/présumez.,VAI,Lidah8zigw,,"Laurent, 1884, p.183",,
Idée,NI,Lidah8zow8gan,,"Nolett-Ille, 1996, p.24",,
Affaire,NI,Lidw8gan,,"Laurent, 1884, p.55",,
C’est l’année de temps,VII,Ligaden,,"Nolett-Ille, 1996, p.2",,
Âge (l'),NI,Ligadmaw8gan,,"Nolett-Ille, 1996, p.1",,
Dé à coudre,NI,Ligw8ns8gan,,"Laurent, 1884, p.11",,
Coud,VAI,Ligw8nsa,,"Laurent, 1884, p.182",,
Cousez,VAI,Ligw8nsagw,,"Laurent, 1884, p.182",,
Coud quelquechose (I),VTI,Ligwa,,"Laurent, 1884, p.182",,
Cousez quelquechose (I),VTI,Ligwamogw,,"Laurent, 1884, p.182",,
Cousez quelquechose (A),VTA,Ligwaogw,,"Laurent, 1884, p.182",,
Coud quelquechose (A),VTA,Ligwawa,,"Laurent, 1884, p.182","Nolett-Ille, 1996, p.45",
Scie,NI,Ligz8w8gan,,"Wz8khilain, 1830, p.61",,
Nouvelle (ce qui est entendu),VII,Lit8gwat,,"Day, 1994, p.274",,
Nom,NI,Liwizow8gan,,"Nolett-Ille, 1996, p.33",,
Quelquechose (I) à de la valeur.,VII;3;s;présent,Ll8wado,Verbe,"Laurent, 1884, p.110",,
C'est vrai/C'est un fait/C'est correct,VII;3;s;présent,Lla,,"Day, 1994, p.275",,
Jusqu'à,Préposition,Lli,,"Laurent, 1884, p.89",,
Va (plus particulièrement à pied),VAI,Losa,,"Day, 1994, p.275",,
Allons quelquepart.,VAI;1;p;impératif,Losada,,"Wz8khilain, 1830, p.19",,
Va chercher quelqu'un ou quelquechose (A),VTA,Losadawa,,"Day, 1994, p.275",,
Quelqu'un va quelquepart.,VAI isc,Losamek,,"Laurent, 1884, p. 111",,
Singe,NA,M8gis,,"Wz8khilain, 1830, p.49",,
Commence à pagayer.,VAI;2;s;Impératif,M8jabia,Verbe,"Day, 1994, p.328",,
Quelqu’un emporte quelquechose (I),VTI,M8jad8zik,,"Laurent, 1884, p.186",,
Grandis,VAI;2;s;Impératif,M8jagi,,"Day, 1994, p.329",,
Quelqu'un grandit.,VAI isc,M8jagimek,,"Day, 1994, p.329",,
Quelqu’un emporte quelquechose (A),VTA,M8jal8mek,,"Laurent, 1884, p.186",,
Commençons,,M8jana,,,,
Quelqu'un commence/part.,VAI isc,M8jimek,,"Laurent, 1884, p.187",,
Entrée (repas),NI,M8jimijow8gan,Nom,Charland,,
Thuya,NA,M8l8dagw,Nom;Plante;Arbre,"Laurent, 1884, p.32",,
Eupatoire perfoliée,NI,M8l8dagwinebizon,Nom;Plante,"Rousseau, 1947, p. 46",,
Raisin,NI,M8l8gwimen,Nom;Plante;Fruit,"Wz8khilain, 1830, p.60",,
Vigne de raisin,NA,M8l8gwimenakwam,Nom;Plante,"Day, 1994, p.332",,
Raisin sauvage,NI,M8l8gwimenis,Nom;Plante;Fruit,"Day, 1994, p.332",,
Ostryer de virginie,NA,M8laloskw,Nom;Plante;Arbre,"Day, 1994, p.330",,
Perchaude,NA,M8lamagws,,"Day, 1994, p.331",,
Achigan,NA,M8lazigan,,???,"Nolett-Ille, 1996, p.27",
Loup,NA,M8lsem,,"Wz8khilain, 1830, p.47",,
Rapidement dans le sense de grossièrement ou à la va-vite.,Adv,M8m8gwiwi,,"Day, 1994, p.333",,
Calico (Robe en cotton),NI,M8m8lagen,,"Laurent, 1884, p.27",,
Quelquechose (I) est rayé.,VII;G,M8m8ligen,,"Day, 1994, p.333",,
Rivière utilisée par tout le monde ou rivère commune.,NI,M8m8wategw,,"Day, 1994, p.333",,
Argent (de l'),NA,M8ni,,"Laurent, 1884, p.41",,
Banque,NI,M8nigamikw,Nom;Lieu,"Nolett-Ille, 1996, p.5",,
Centre de santé communautaire,NI,M8wis8glamalsowigamikw,Nom;Lieu,,,
Guerre,NI,Mad8bakw,,"Wz8khilain, 1830, p.54","Nolett-Ille, 1996, p.36",
Peau (tannée d'un animal),NI,Madagen,,"Laurent, 1884, p.70",,
Cuir,NI,Madageniia,Nom,"Masta, 1932, p.282",,
Chauve-Souris,NA,Madagenilhas,Nom;Animal;Mammifère,"Laurent, 1884, p.37",,
"Un esprit mauvais, un diable",NA,Madah8do,Nom;Personne,"Laurent, 1884, p.210",,
Indisposition,NI,Madamalsow8gan,,"Laurent, 1884, p.24",,
Pellette de la neige.,VAI,Mag8lhiga,,"Day, 1994, p.285",,
Pellettez de la neige.,VAI,Mag8lhigagw,,"Day, 1994, p.285",,
Quelqu'un pellette de la neige.,VAI isc,Mag8lhigamek,,"Day, 1994, p.285",,
Pelle à neige,NI,Mag8lhigan,,"Day, 1994, p.285",,
Caribou,NA,Mag8libo,,"Laurent, 1884, p.36",,
L'action de pelleter,NI,Mag8ligaw8gan,,"Day, 1994, p.285",,
Fait don de quelquechose,VAI,Maga,,"Laurent , 1884, p.186",,
Faites don de quelquechose,VAI,Magakw;Magaakw;Magagw,,"Laurent , 1884, p.186",,
Quelqu’un fait don de quelquechose.,VAI isc,Magamek,,"Laurent , 1884, p.186",,
Donner,,Magaw8gan,,,,
Kanien'kehá:ka (Iroquois),NA,Magwa,,"Day, 1994, p.286","Nolett-Ille, 1996, p.21",
Jaseur d'Amérique,NA,Magwasis,Nom;Animal;Oiseau,"Day, 1994, p.286",,
"Correct, exact, satisfaisant",Particule,Mah8wi,,"Day, 1994, p.299",,
"Ce (I) qui est correct, exact",VII;3;s;présent,Mah8wigek,Adjectif,"Day, 1994, p.299",,
"Quelquechose (I) qui est correct, exact",VII;3;s;présent,Mah8wigen,Adjectif,"Day, 1994, p.299",,
"Exactement, juste, assez, correct.",Adv,Mah8wiwi,Adverbe,"Day, 1994, p.299",,
Frêne noir,NA,Mahlakws,Nom;Plante;Arbre,"Wz8khilain, 1830, p.47",,
Malchance (la),NI,Majalmegwzow8gan,,"Nolett-Ille, 1996, p.29","Laurent, 1884, p.65",
"Mal, Mauvais, Méchant",,Maji,,"Wz8khilain, 1830, p.54",,
Quelquechose (I) est mauvais.,VII,Majigen,,"Laurent, 1884, p.65",,
"La laideur, la malice",NI,Majigow8gan,,"Laurent, 1884, p.24",,
Il fait une mauvaise température,VII,Majikizgat,Verbe,Charland,,
"Pour toujours, continuellement",Adverbe,Majimiwi,,"Aubéry-Laurent, 1995, p.503",,
Maquereau,NA,Makelo,,"Laurent, 1884, p.39",,
Vin,NI,Makwbagak,,"Laurent, 1884, p.30","Nolett-Ille, 1996, p.29",
Marteau,NI,Malto,,"Wz8khilain, 1830, p.47",,
Grand pic,NA,Mama,,"Laurent, 1884, p.37",,
Torture (aussi utilisé pour la passion du christ),NI,Mamagahodw8gan,Nom,"Laurent, 1884, p.13",,
Crapaud,NA,Mamaska,,"Laurent, 1884, p.39",,
Avec moquerie,Participle,Mamesani,,"Day, 1994, p.293",,
Papillon,NA,Mamij8la,,"Wz8khilain, 1830, p.60",,
La haute-mer,VII;3;s;présent,Mamili sobagwa,Verbe,"Laurent, 1884, p.15",,
Quai,NI,Mamilitigan,Nom;Lieu,"Laurent, 1884, p.112",,
Au large,Adv,Mamiliwi,,"Day, 1994, p.294",,
Cornouiller soyeux; petit bâton rouge,VII Participe,Mamkwakwsek,Nom;Plante,"Rousseau, 1947, p. 42",,
Betterave,NA,Mamkwakwzid,,"Day, 1994, p.295","Nolett-Ille, 1996, p.2",
bétterave ou radis,VAI Participle,Mamkwakwzit,Nom;Plante,"Rousseau, 1947, p. 42",,
Araignée,NA,Mamselabika,,"Laurent, 1884, p.39",,
"Énorme, Vaste",,Mamsi,,"Laurent, 1884, p.65",,
Arc-en-ciel (un),NA,Managw8n,,"Laurent, 1884, p.105",,
"Lent, Lentement",Particle,Manni,,"Day, 1994, p.297",,
Mouche à chevreuil,NA,Masezakwa,,"Nolett-Ille,???, p.150",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Silex,NI,Masipskw,,"Wz8khilain, 1830, p.47",,
Crapaud,NA,Maska,,"Laurent, 1884, p.39","Nolett-Ille, 1996, p.12",
Crapaud,NA,Maskka;Maska,,"Wz8khilain, 1830, p.47","Nolett-Ille, 1996, p.11",
Couverture,NI,Masksa;Maksa,,"Wz8khilain, 1830, p.47","Nolett-Ille, 1996, p.15",
Écorce de bouleau,NI,Maskwa,,"Wz8khilain, 1830, p.47",,
Bouleau à papier,NA,Maskwamozi,Nom;Plante;Arbre,"Wz8khilain, 1830, p.60",,
Fruit du cerisier de Pennsylvanie,NI,Maskwazimen,,"Wz8khilain, 1830, p.29",,
Cerisier de pennsylvanie,NA,Maskwazimenakwam,,"Laurent, 1884, p. 32",,
Maskinongé,NA,Maskwenoza,,"Day, 1994, p.302",,
Fougère,NI,Masozi,Nom;Plante,"Laurent, 1884, p.32",,
"La maigreur, la minceur ",NI,Mat8lawzow8gan,,"Laurent, 1884, p.23","Nolett-Ille, 1996, p.27",
Lièvre,NA,Matgwas,,"Laurent, 1884, p.36","Nolett-Ille, 1996, p.27",
Lapin,NA,Matgwas;Mategwas;Matguas,,"Wz8khilain, 1830, p.49",,
Brûlons quelquechose (A),VTA;1;p;impératif,Matkazaz8da,,"Day, 1994, p.304",,
Quelqu'un brûle quelquechose (A),VTA isc,Matkazaz8mek,,"Day, 1994, p.304",,
Brûle quelquechose (A),VTA;2;s;impératif,Matkazaza,,"Day, 1994, p.304",,
Brûlez quelquechose (A),VTA;2;p;impératif,Matkazazokw,,"Day, 1994, p.304",,
Chanvre sauvage,NI,Maz8n,,"Wz8khilain, 1830, p.47",,
Dix (nombre),Numéral,Mdala,Numéral,"Laurent, 1884, p.74",,
Dix million (nombre),Numéral,Mdala kasta kchi-ngwed8mkwaki,Numéral,"Laurent, 1884, p.76",,
Guêtres/Bas,NID,Mdas,Nom;Objet;Vêtement,"Wz8khilain, 1830, p.47","Nolett-Ille, 1996, p.1",
Drapeau,NI,Mdawagen,,"Nolett-Ille, 1996, p.15",,
Poteau de médecine,NA,Mdawakwam,Nom,"Day, 1994, p.307",,
Huart,NI,Mdawilha,Nom;Animal;Oiseau,"Day, 1994, p. 307",,
"Personne avec des pouvoirs (une personne avec connaissances mystiques et médecine, sorcier)",NA,Mdawlinno,Nom;Personne,"Masta, 1932, p.282",,
Mal de tête,NI,Mdepinaw8gan,,"Laurent, 1884, p.24",,
Alêne,NA,Megos,,"Nolett-Ille, 1996, p.1",,
Mitaine,NAD,Meljas,Nom;Objet;Vêtement,"Laurent, 1884, p.70",,
Quelqu'un trouve quelqu'un ou quelquechose (A),VTA isc,Meskaw8mek,,"Laurent, 1884, p.114","Nolett-Ille, 1996, p.5",
Une chose choisie,NI,Mgenigan,Nom,"Laurent, 1884, p.114",,
Une personne choisie - le meilleur choix,NA,Mgenigan,Nom,"Laurent, 1884, p.114",,
"Nom commun pour aigle, nom spécifique du pygarge à tête blanche.",NA,Mgezo,,"Laurent, 1884, p.37","Nolett-Ille, 1996, p.29",
Marais,NI,Mgoakw,,"Wz8khilain, 1830, p.47",,
Bataille,NI,Migakaw8gan,,"Wz8khilain, 1830, p.65","Nolett-Ille, 1996, p.38",
Plume,NA,Miguin;Migwen,,"Laurent, 1884, p.61",,
Plume,NA,Migwen,,,,
Provisions,NI,Mijow8gan,,"Laurent, 1884, p.63",,
Provision,NI,Mijw8gan,,"Wz8khilain, 1830, p.54",,
Tortue d'eau,NA,Mikinakw,,"Laurent, 1884, p.215","Nolett-Ille, 1996, p.15",
Écureuil,NA,Mikwa,,"Laurent, 1884, p.36",,
Faites don de quelquechose (I),VTI,Mildiakw,,"Day, 1994, p.318",,
Donne-moi,,Mili,,"Nolett-Ille, 1996, p.14",,
Confiture,NI,Min8bo,,"Laurent, 1884, p.30",,
C'est violet,,Min8bowigen,,"Laurent, 1884, p.45","Nolett-Ille, 1996, p.16",
Encore (idée de répétition),,Mina,,"Wz8khilain, 1830, p.47",,
Quoique,Conjonction,Minagwiba,,"Laurent, 1884, p.90",,
À nouveau,Adv,Minawiwi,,"Day, 1994, p.319",,
Fruit (baie et graines),AN,Mink8gan,,"Day, 1994, p.320",,
Boisseau,NI,Minot,,"Wz8khilain, 1830, p.47",,
Chat,NA,Minowis,,"Nolett-Ille, 1996, p.9",,
Chat,NA,Minwiz,,"Wz8khilain, 1830, p.47",,
Péllicules,,Mizwa,,"Wz8khilain, 1830, p.47",,
Ame,NI,Mjejakw,,"Nolett-Ille, 1996, p.2",,
Ongle,NA,Mkaz,,"Laurent, 1884, p.26","Nolett-Ille, 1996, p.8",
Charbon,NI,Mkaza,,"Wz8khilain, 1830, p.47",,
Corneille,NA,Mkazas,Nom;Animal;Oiseau,"Laurent, 1884, p.37",,
C'est noir,VII,Mkazawigen,,"Laurent, 1884, p.45","Nolett-Ille, 1996, p.46",
Soulier,NI,Mkezen,Nom;Objet;Vêtement,"Wz8khilain, 1830, p.44",,
Cuir à mocassin,NI,Mkezenadagen,Nom,"Day, 1994, p.309",,
Brique,NI,Mkwapskwis,,"Day, 1994, p. 322","Laurent, 1884, p.44",
C'est rouge,VII,Mkwigen,,"Wz8khilain, 1830, p.49","Nolett-Ille, 1996, p.30",
Piranga écarlante,NA,Mkwimins,Nom;Animal;Oiseau,"Rasles, 1831, p.384",,
Genévrier de Virginie,VAI;3;s;Présent,Mkwisagezo,Nom;Plante;Arbre,"Day, 1994, p.323",,
Mélasse,NI,Mlases,,"Wz8khilain, 1830, p.46","Nolett-Ille, 1996, p.20",
Fort,,Mliki,,"Laurent, 1884, p.65",,
Ce (I) qui est fort.,Adj,Mlikigek,,"Laurent, 1884, p.67",,
Spiritueux,NI,Mlikigek kadosmow8gan,,"Laurent, 1884, p.72",,
Quelquechose (I) est fort.,VII;3;s;présent,Mlikigen,,"Laurent, 1884, p.65",,
Ce (A) ou celui qui est fort.,Adj,Mlikigit,,"Laurent, 1884, p.67",,
Pleur,NI,Mlisjaw8gan,,"Nolett-Ille,????, p.177","Nolett-Ille, 1996, p.24",
Ile,NI,Mnahan;Menahan,,"Wz8khilain, 1830, p.47",,
Nuagle isolé,NA,Mnaskw,,"Laurent, 1884, p.17","Nolett-Ille, 1996, p.44",
Un nuage isolé,NA,Mnasokw,Nom,"Day, 1994, p.312",,
Sac,NI,Mnoda,,"Wz8khilain, 1830, p.47",,
C’est profond,VII,Mol8gen,,"Wz8khilain, 1830, p.54",,
Montréal,NI,Molian,,"Laurent, 1884, p.51","Laurent, 1884, p.36",
Vison,NA,Mosbas,,"Wz8khilain, 1830, p.47","Nolett-Ille, 1996, p.42",
Rat musqué,NA,Moskwas,,"Wz8khilain, 1830, p.47",,
Viande de rat musqué,NI,Moskwasiia,Nom,Philippe Charland,,
Acore odorant (Acorus calamus),NI,Moskwaswaskw,Nom;Plante,"Laurent, 1884, p.32","Nolett-Ille, 1996, p.32",
Fourrure de rat musqué,NI,Moskwaswawa,Nom,Philippe Charland,,
Mouchoir,NI,Moswa,,"Wz8khilain, 1830, p.54",,
Orignal,NA,Moz,,"Wz8khilain, 1830, p.44",,
Perle,NI,Moz8bi,,"Masta, 1932, p.56",,
Peau d’orignal sans poil.,,Mozagen,,,,
Peau d’orignal avec fourrure.,,Mozawa,,,"Nolett-Ille, 1996, p.51",
Vison,NA,Mozbas,,"Masta, 1932, p. 54",,
Viande d'orignal,NI,Moziia,,"Laurent, 1884, p.63",,
Abondance  ou production d’orignaux.,VAI;3;s;Présent,Mozika,,"Laurent, 1884, p.117",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Fruit de Viburnum Alnifolium,NI,Mozmen,,"Wz8khilain, 1830, p.47",,
Bois d’orignal (Viburnum Alnifolium),NI,Mozmenakwam,Nom;Plante,"Rousseau, 1947, p. 45",,
Sorbier d’amérique,NA,Mozmezi,Nom;Plante;Arbre,"Day, 1994, p.327",,
Mars,NA,Mozokas,,"Wz8khilain, 1830, p.89",,
Gros,Particule,Msagi,,"Nolett-Ille, 1996, p.23",,
Quelquechose (I) est gros.,VII,Msagigen,,"Day, 1994, p.336",,
Ce [A] ou celui qui est grand.,Adj,Msagilek,,"Laurent, 1884, p.69",,
Ce [I] qui est grand.,Adj,Msagwikwek,,"Laurent, 1884, p.69",,
Plusieurs (A),Adj,Msali,,"Masta, 1932, p.22",,
Plusieurs (I),Adj,Msalto,,"Nolett-Ille,1996, p.5",,
Boa,NA,Msaskog,,"Laurent, 1884, p.39",,
Épinette blanche,NA,Msazeso,Nom;Plante;Arbre,"Laurent, 1884, p.33",,
"Énorme, Vaste",,Msi,,"Laurent, 1884, p.65",,
Un soupir,NI,Msinasaw8gan,Nom,"Laurent, 1884, p.23",,
Épinette noire,NA,Mskak,Nom;Plante;Arbre,"Wz8khilain, 1830, p.44",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Marécage,A?,Mskakw,,"Wz8khilain, 1830, p.44",,
Racine de nénuphar,NA,Mskata,Nom;Plante,"Wz8khilain, 1830, p.45",,
Foin/Herbe/Gazon,NI,Mskiko,,"Wz8khilain, 1830, p.45","Nolett-Ille, 1996, p.20",
Fraise,NA,Mskikwimens,,"Wz8khilain, 1830, p.58",,
Érable rouge,NA,Mskobages,Nom;Plante;Arbre,"Rousseau, 1947, p. 42",,
Prairie,I ?,Mskoda,,"Wz8khilain, 1830, p.45",,
Saumon,NA,Mskwamagw,,"Laurent, 1884, p.39",,
Bois pourris,NI,Msowakw,,"Wz8khilain, 1830, p.47",,
Novembre,NA,Mzatanos,,"Wz8khilain, 1830, p.89",,
Maïs bouilli,NI,Mzikwtal,,"Wz8khilain, 1830, p.47","Nolett-Ille, 1996, p.49",
"Tout, tous",Adv,Mziwi,,"Wz8khilain, 1830, p.47",,
Musée,,Mziwi kagwi 8shagin8gwak atali namit8zik,Nom;Lieu,Dictionnaire de Masta,,
Je m’endors,VAI;1;s;présent,N'8bkawi,Verbe,Charland,,
Je visite quelqu'un.,VTA;1;s;présent,N'8dakaw8,Verbe,"Masta, 1932, p.74",,
Je transplante quelquechose (I),VTI;1;s;présent,N'8dkag8balam,Verbe,"Day, 1994, p.419",,
Je vieilli,VAI;1;s;Présent,N'8jigadema,Verbe,"Day, 1994, p.422",,
Je traduis,VAI;1;s;Présent,N'8kaw8doka,Verbe,"Day, 1994, p.425",,
Je parie,VAI;1;s;présent,N'8mka,Verbe,"Day, 1994, p.424",,
Je répond à une question.,VAI;1;s;Présent,N'8zidawa,Verbe,,,
J'ai mal dans les côtés.,VAI;1;s;présent,N'Patkilama,Verbe,"Day, 1994, p.81",,
Je couvre quelquechose (A),VTA,N'agwankaha,Verbe,"Day, 1994, p.15",,
Je couvre quelquechose (I),VTI,N'agwankaham,Verbe,"Day, 1994, p.15",,
Je cours (de façon indéterminée),VAI;1;s;présent,N'al8malh8,Verbe,Philippe Charland,,Courir (de façon indéterminée)
J’arrête quelqu’un ou quelquechose (A).,VTA;1;s;Présent,N'chann8,Verbe,"Laurent, 1884, p.153",,Arrêter quelqu’un ou quelquechose (A).
J’arrête,VAI;1;s;Présent,N'channa,Verbe,"Laurent, 1884, p.153",,Arrêter
J’arrête quelquechose (I).,VTI;1;s;Présent,N'channem,Verbe,"Laurent, 1884, p.153",,Arrêter quelquechose (I).
J’arrête quelquechose (I).,VAI;1;s;présent,N'chanosa,Verbe,"Laurent, 1884, p.183",,
Je brûle ou j'allume quelquechose (A).,VTI isc,N'chegas8,Verbe,"Laurent, 1884, p.183",,
Je brûle ou j'allume quelquechose (I).,VTI;1;s;présent,N'chegasem,Verbe,"Laurent, 1884, p.183",,
Je laisse quelquechose (I),VTI;1;s;présent,N'chigitam,Verbe,"Day, 1994, p.145",,
Je laisse (permet à) quelqu’un ou quelquechose (A),VTA;1;s;Présent,N'chigitaw8,Verbe,"Day, 1994, p.145",,
Je glisse.,VAI;1;s;présent,N'chipozi,Verbe,"Day, 1994, p.146",,
Je veux (besoin) de quelqu'un ou quelquechose (A).,VTA;1;s;présent,N'chowalm8,Verbe,"Laurent, 1884, p.113",,
Je dois faire quelquechose (I),VTI;1;s;présent,N'chowito,Verbe,"Laurent, 1884, p.115",,
Je mets quelqu’un en colère,VTA;1;s;Présent,N'gag8wih8,Verbe,"Wz8khilain, 1830, p.33",,
"Appeler quelqu'un, crier après quelqu'un pour attirer son attention.",VAI;1;s;Présent,N'gwah8mi,Verbe,"Wz8khilain, 1830, p.223",,
Je teste quelquechose (A) touchant,VTA;1;s;présent,N'gwejiph8,Verbe,"Day, 1994, p.227",,
Je goûte en mangeant,VAI;1;s;Présent,N'gwejipi,Verbe,"Day, 1994, p.227",,
Je teste quelquechose(I) en goûtant,VTI;1;s;présent,N'gwejitam,Verbe,"Day, 1994, p.227",,
Je parle le gaélique irlandais,VAI;1;s;présent,N'ill8da8dwa,Verbe,,,
Pendant que je voyage,VAI;1;s;Présent,N'illakanni,Verbe,"Wz8khilain, 1830, p.32","Nolett-Ille, 1996, p.25",
J’ai soif,VAI;1;s;Présent,N'kadawesmi,Verbe,"Laurent, 1884, p.184",,
Je m’apprête,VAI;1;s;présent,N'kadawi,Verbe,"Laurent, 1884, p.105",,
J'enlève quelquechose (A),VTA;1;s;Présent,N'kadn8,Verbe,Charland,,
J'enlève quelquechose (I),VTI;1;s;Présent,N'kadnem,Verbe,Charland,,
J’ai faim,VAI;1;s;Présent,N'kadopi,Verbe,"Laurent, 1884, p.184",,
Je bois,VAI;1;s;présent,N'kadosmi,Verbe,"Laurent, 1884, p.185",,
Je suis fâché,VAI;1;s;présent,N'kag8wigi,Verbe,"Day, 1994, p.176",,
Je tiens quelqu'un ou quelquechose (A),VTA;1;s;présent,N'kagaln8,Verbe,"Laurent, 1884, p. 186",,
Je m'accroche,VAI;1;s;présent,N'kagalnakwi,Verbe,"Masta, 1932, p.77",,
Je tiens quelquechose (I),VTI;1;s;présent,N'kagalnem,Verbe,"Laurent, 1884, p. 186",,
Je plonge,VAI;1;s;présent,N'kamgwi,Verbe,"Laurent, 1884, p.197",,
Je le plonge,VTA;1;s;présent,N'kamgwikh8,Verbe,"Laurent, 1884, p.197",,
J’ai tant d’années d’âge.,VAI;1;s;Présent,N'kasigadma,Verbe,"Laurent, 1884, p.99",,
Je rend engourdi,VAI;1;s;présent,N'kaskimoka,Verbe,"Day, 1994, p.260",,
Je me déshabille,VAI;1;s;Présent,N'katsawa,Verbe,Charland,,
Je dors,VAI;1;s;Présent,N'kawi,Verbe,"Nolett-Ille, 1996, p.15",,
Je ferme quelquechose (A).,VTA;1;s;Présent,N'kbah8,Verbe,"Laurent, 1884, p.96",,
Je ferme quelquechose (I).,VTI;1;s;Présent,N'kbaham,Verbe,"Laurent, 1884, p.96",,
Je gratte quelqu'un ou quelquechose (A),VTA;1;s;présent,N'kejigen8,Verbe,"Day, 1994, p.190",,
Je me gratte,VAI;1;s;présent,N'kejigen8zi,Verbe,"Day, 1994, p.190",,
Je gratte quelquechose (I),VTI;1;s;présent,N'kejigenem,Verbe,"Day, 1994, p.190",,
Ça me gratte,VAI;1;s;présent,N'kejigihla,Verbe,"Day, 1994, p.190",,
Je chuchotte.,VAI;1;s;présent,N'kigim8dwa,Verbe,"Nolett-Ille, 1994, p.10",,
Je sème,VAI;1;s;présent,N'kika,Verbe,"Laurent, 1884, p.182",,
J’espionne quelqu’un ou quelquechose (A).,VTA;1;s;présent,N'kiminal8,Verbe,"Day, 1994, p.200",,
Je suis brave/courageux.,VAI;1;s;présent,N'kin8bai,Verbe,"Day, 1994, p.203",,
Je regarde,VAI;1;s;Présent,N'kina,Verbe,"Laurent, 1884, p.115",,
Je regarde quelquechose (I),VTI;1;s;Présent,N'kinam,Verbe,"Day, 1994, p.255",,
Je regarde quelqu’un ou quelquechose (A),VTA;1;s;Présent,N'kinaw8,Verbe,"Day, 1994, p.255",,
Je me promène,VAI;1;s;Présent,N'kiosa,Verbe,"Nolett-Ille, 1996, p.40",,Se promener
Je décide quelquechose (I),VTI;1;s;présent,N'kisto,Verbe,"Laurent, 1884, p.111",,
J’écoute,VAI;1;s;Présent,N'kita,Verbe,"Day, 1994, p.257",,
Je suis prêt,VAI,N'kiz8ji,Verbe,"Laurent, 1884, p. 117",,
Je parle à quelqu'un.,VTA;1;s;Présent,N'klol8,Verbe,"Laurent, 1884, p.183",,
Je parle,VAI,N'klozi,Verbe,"Laurent, 1884, p.92",,
Je parle.,VAI;1;s;présent,N'klozi,Verbe,"Laurent, 1884, p.183",,
Je parle le gaélique écossais,VAI;1;s;présent,N'koswaki8dwa,Verbe,,,
Je mélange quelquechose (A),VTA;1;s;Présent,N'kotlen8,Verbe,"Day, 1994, p.217",,
